lat,lng,on_demand,total_minutes,day,hour,sum_uni,sum_wei,pop_uni,pop_wei,seniority,found_rate,picking_speed,accepted_rate,rating,lat_store,lng_store,branch_size,city
-33.5016745551528,-70.5793685999999,True,67.68426395,18,20,16.0,2.756,-11.722201620599003,5.802893318125682,0,0.9024,1.3,0.92,4.76,-33.48528,-70.57925,33,0
-33.4405840012576,-70.5562828195387,False,57.0606318333333,19,1,11.0,0.0,-2.33725143876139,0.0,2,0.761,2.54,0.92,4.96,-33.441246,-70.53545,33,0
-32.987022410412,-71.5448421143012,True,,19,14,18.0,0.0,-5.956135430330576,0.0,1,0.8313,2.57,0.76,4.92,-33.008213,-71.545615,33,3
-33.3280747609911,-70.5126585573593,True,52.06774195,18,21,1.0,0.0,-1.26273302496561,0.0,2,0.8776,2.8,0.96,4.76,-33.355258,-70.537787,2,0
-33.4032392,-70.5640197,False,140.724821933333,19,20,91.0,6.721,2.1152414947054163,10.121384062420487,1,0.7838,2.4,0.96,4.96,-33.3865471,-70.5680753,33,0
-33.3307237301626,-70.5470740695935,True,,18,23,15.0,0.0,-11.648569379183227,0.0,0,0.8946,1.82,1.0,4.84,-33.357558,-70.515415,17,0
-33.4477303,-70.5738254,True,45.5357369,19,14,7.0,2.0,-0.2248205287574109,3.123320816852573,0,0.8713,1.31,0.88,4.96,-33.4630009,-70.5753013,33,0
-33.4500983,-70.6039485,False,121.394073383333,19,2,62.0,1.118,0.7756742652386547,2.214331029509677,0,0.819,1.27,1.0,4.72,-33.474,-70.599,33,0
-33.3637719978844,-70.5483342061863,True,72.44642875,18,21,15.0,0.25,-3.702889840116078,-2.1821763812484,0,0.8755,1.0,1.0,4.92,-33.357558,-70.515415,17,0
-33.3499223326299,-70.522841132537,True,,18,21,94.0,2.8520000000000003,11.780278933103242,2.46213359760836,0,0.9363,1.67,1.0,4.84,-33.370765,-70.51242,33,0
-33.3907708636751,-70.5210462539673,False,30.5247470166667,19,13,9.0,2.3,2.3451840640882264,0.8318697139736217,0,0.8789,0.85,0.96,4.92,-33.4020235543,-70.5167273924,33,0
-33.4302223,-70.590958,True,27.8110073166667,19,16,2.0,0.0,-4.555831988676781,0.0,2,0.8303,1.91,0.96,5.0,-33.43008,-70.602525,19,0
-33.4300683,-70.571788,False,,19,16,41.0,5.071000000000001,-10.49246052758009,7.372008500745421,0,0.8856,1.27,0.92,4.8,-33.441246,-70.53545,33,0
-33.32002,-70.565699,False,101.367247983333,19,15,144.0,3.17,-0.407533709786761,5.059999451253591,0,0.9028,0.79,0.88,4.96,-33.2768535,-70.628167,33,0
-33.3258999000001,-70.5449433,False,92.1297773333333,19,16,90.0,4.302,3.392903703585429,4.948385024086934,0,0.8859,1.22,1.0,4.76,-33.370765,-70.51242,33,0
-33.4179672,-70.5300725,False,98.6623049,19,0,35.0,0.885,-9.75713986249065,2.312183080790027,0,0.8201,1.65,1.0,4.92,-33.4020235543,-70.5167273924,33,0
-33.4112639763675,-70.5742375604353,False,114.14053935,19,17,16.0,0.0,-2.4686417010508404,0.0,1,0.7879,4.33,0.857142857142857,5.0,-33.3865471,-70.5680753,33,0
-33.4548841,-70.5921195,False,101.638217833333,19,18,34.0,0.51,-15.327071998636647,1.224470530515808,0,0.8909,1.17,0.96,5.0,-33.4630009,-70.5753013,33,0
-33.4273893,-70.6058318,True,,19,15,3.0,0.0,-3.281500719573998,0.0,1,0.856,1.79,0.84,4.84,-33.430257,-70.603,23,0
-33.4495394,-70.6549427,False,,19,14,20.0,2.865,-3.461262871655644,2.752967713380407,0,0.8153,2.0,0.92,4.92,-33.451695,-70.69216,33,0
-33.4934055,-70.5941639,False,122.239210083333,19,16,155.0,1.0,-1.7343529019159345,2.293869152426684,0,0.8909,1.17,0.96,5.0,-33.48528,-70.57925,33,0
-33.4243656627503,-70.5749816447496,False,70.72322425,19,17,1.0,0.0,-2.2779159943383904,0.0,1,0.8438,1.83,0.64,4.84,-33.409534,-70.567352,1,0
-33.4024799,-70.581435,False,160.9951476,19,20,24.0,1.7,-0.374721280196246,0.9826653262543582,0,0.8729,1.2,1.0,4.92,-33.3865471,-70.5680753,33,0
-33.4280469379858,-70.6013906737692,False,137.647577433333,19,0,16.0,3.6,-2.497107358277655,1.6577783233599002,1,0.8616,2.75,0.8,4.6,-33.4630009,-70.5753013,33,0
-33.3434978,-70.553677,True,71.5341935333333,18,21,14.0,0.7,-2.603359084124824,1.2402561722746457,1,0.8722,2.78,0.8,4.84,-33.370765,-70.51242,33,0
-36.8296582,-73.055916,True,48.7642270333333,18,22,9.0,0.0,0.1500476665878866,0.0,0,0.8611,1.63,0.88,4.92,-36.828629,-73.060345,33,1
-33.4588635692114,-70.5233864840307,False,51.0818447833333,19,15,31.0,0.668,-1.4268916426216776,2.238744129868632,0,0.8475,1.5,0.92,4.96,-33.460484,-70.545125,33,0
